title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre,box_value,multiplier,bo_num
Dil Juunglee,2018,https://en.wikipedia.org/wiki/Dil_Juunglee,Dil Juunglee,Aleya Sen,"Taapsee Pannu, Saqib Saleem, Nidhi Singh, Abhilash Thapliyal, Srishti Shrivastava, Ayesha Kaduskar, Santosh Barmola",,₹ 1.30 crore ,,Pooja Entertainment,Is An Indian Romantic Comedy,1.3,10000000,13000000.0
Raid,2018,https://en.wikipedia.org/wiki/Raid_(2018_film),Raid,Raj Kumar Gupta,"Ajay Devgn, Ileana D'Cruz, Saurabh Shukla, Saanand Verma",₹40 crore ,₹153.62 crore ,Viacom 18 Motion Pictures(India)Eros International(International),,018 Indian Hindi-Language Crime Thriller,153.62,10000000,1536200000.0
Hichki,2018,https://en.wikipedia.org/wiki/Hichki,Hichki,Siddharth P. Malhotra,Rani Mukerji,₹ 20 crore ,₹ 46.21 crore ,,Yash Raj Films,2018 Indian Hindi-Language Comedy Drama,46.21,10000000,462100000.0
Baaghi 2,2018,https://en.wikipedia.org/wiki/Baaghi_2,Baaghi 2,Ahmed Khan,"Tiger Shroff, Disha Patani, Manoj Bajpayee, Darshan Kumar, Prateik Babbar, Randeep Hooda, Deepak Dobriyal, Arravya Sharma",₹ 59 crore ,est. ₹ 254.33 crore ,Fox Star Studios,Nadiadwala Grandson Entertainment,18 Indian Hindi-Language Action Thriller,254.33,10000000,2543300000.0
Blackmail,2018,https://en.wikipedia.org/wiki/Blackmail_(2018_film),Blackmail,Abhinay Deo,"Irrfan Khan, Kirti Kulhari, Divya Dutta, Arunoday Singh, Omi Vaidya",₹ 18 crore (equivalent to ₹ 24 crore or US$2.8 million in 2023) ,₹ 28.81 crore (equivalent to ₹ 39 crore or US$4.6 million in 2023) ,T-Series Films (India)Eros International(Overseas),,2018 Indian Hindi-Language Black Comedy,28.81,10000000,288100000.0
Missing,2018,https://en.wikipedia.org/wiki/Missing_(2018_film),Missing,Mukul Abhyankar,"Tabu, Manoj Bajpayee, Annu Kapoor",,₹ 0.85 crore ,Abundantia EntertainmentFriday Filmworks,,Psychological Thriller,0.85,10000000,8500000.0
October,2018,https://en.wikipedia.org/wiki/October_(2018_film),October,Shoojit Sircar,"Banita Sandhu, Gitanjali Rao, Varun Dhawan",₹ 33 crore ,₹ 58.41 crore ,NH StudiozGrand Showbiz(International),,Er Is A 2018 Indian Hindi-Language Drama,58.41,10000000,584100000.0
Nanu Ki Jaanu,2018,https://en.wikipedia.org/wiki/Nanu_Ki_Jaanu,Nanu Ki Jaanu,Faraz Haider,"Abhay Deol, Patralekha, Manu Rishi",₹ 15 crore ,₹ 4.12 crore ,PVR Pictures,Inbox Pictures,2018 Indian Hindi-Language Horror Comedy,4.12,10000000,41200000.0
102 Not Out,2018,https://en.wikipedia.org/wiki/102_Not_Out,102 Not Out,Umesh Shukla[1],"Amitabh Bachchan, Rishi Kapoor, Jimit Trivedi",₹ 35 crore ,est. ₹ 85.96 crore ,Sony Pictures Releasing International,,2018 Indian Hindi-Language Comedy Drama,85.96,10000000,859600000.0
Parmanu: The Story of Pokhran,2018,https://en.wikipedia.org/wiki/Parmanu:_The_Story_of_Pokhran,Parmanu: The Story of Pokhran,Abhishek Sharma,"John Abraham, Diana Penty, Boman Irani",₹ 35 crore ,est. ₹ 91.38 crore ,Pooja Entertainment(India)Eros International(Overseas),,Historical Action Drama,91.38,10000000,913800000.0
Raazi,2018,https://en.wikipedia.org/wiki/Raazi,Raazi,Meghna Gulzar,"Alia Bhatt, Vicky Kaushal, Jaideep Ahlawat",₹35–40 crore ,est. ₹207 crore ,AA Films,,2018 Indian Hindi-Language Spy Thriller,207.0,10000000,2070000000.0
Manto,2018,https://en.wikipedia.org/wiki/Manto_(2018_film),Manto,Nandita Das,"Nawazuddin Siddiqui, Tahir Raj Bhasin, Rasika Dugal, Rajshri Deshpande",,₹ 3.71 crore ,Viacom 18 Motion Pictures,,Biographical Drama,3.71,10000000,37100000.0
Tohfa,1984,https://en.wikipedia.org/wiki/Tohfa,Tohfa,K. Raghavendra Rao,"Jeetendra, Jaya Prada, Sridevi",,₹ 9 crore (equivalent to ₹ 141 crore or US$17 million in 2023),,Suresh Productions,4 Indian Hindi-Language Melodrama Comedy,9.0,10000000,90000000.0
Sharaabi,1984,https://en.wikipedia.org/wiki/Sharaabi,Sharaabi,Prakash Mehra,"Amitabh Bachchan, Jaya Prada, Pran, Om Prakash, Deepak Parashar",₹ 4.5 crore (equivalent to ₹ 70 crore or US$8.3 million in 2023),₹ 7.6 crore (equivalent to ₹ 119 crore or US$14 million in 2023),Prakash Mehra Productions,,1984 Indian Hindi-Language Comedy Drama,7.6,10000000,76000000.0
Raaj Tilak,1984,https://en.wikipedia.org/wiki/Raaj_Tilak,Raaj Tilak,Rajkumar Kohli,"Sunil Dutt, Dharmendra, Raaj Kumar, Kamal Haasan, Pran, Hema Malini, Reena Roy, Ranjeeta, Yogeeta Bali",₹ 35 million ,₹ 85 million ,,A. R. Productions,1984 Indian Hindi-Language Action Drama,85.0,1000000,85000000.0
Purana mandir,1984,https://en.wikipedia.org/wiki/Purana_Mandir,Purana Mandir,Tulsi RamsayShyam Ramsay[1],"Mohnish Behl, Puneet Issar, Aarti Gupta, Sadashiv Amrapurkar, Pradeep Kumar, Trilok Kapoor, Anirudh Agarwal",₹2.5 lakh ,₹2.5 crore ,,Ramsay Films,Is A 1984 Indian Hindi-Language Horror,2.5,10000000,25000000.0
Kasam Paida Karne Wale Ki,1984,https://en.wikipedia.org/wiki/Kasam_Paida_Karne_Wale_Ki,Kasam Paida Karne Wale Ki,Babbar Subhash,"Mithun Chakraborty, Smita Patil, Salma Agha, Amrish Puri",₹1.40 Crore,est. ₹5.50 Crore,B. Subhash Film Unit,,Is A 1984 Indian Hindi-Language Masala,5.5,10000000,55000000.0
Awara Badal,1964,https://en.wikipedia.org/wiki/Awaara,Awaara,Raj Kapoor,"Prithviraj Kapoor, Nargis, Raj Kapoor, Leela Chitnis, K. N. Singh, Shashi Kapoor",,est. ₹15.6 crore,R.K. Films,,Is A 1951 Indian Crime Drama,15.6,10000000,156000000.0
Sangam,1964,https://en.wikipedia.org/wiki/Mera_Naam_Joker,Mera Naam Joker,Raj Kapoor,"Raj Kapoor, Simi Garewal, Rishi Kapoor, Kseniya Ryabinkina, Padmini, Manoj Kumar, Dharmendra, Dara Singh, Rajendra Kumar",,USSR : est. ₹ 168.1 million (equivalent to ₹ 8.3 billion or US$98 million in 2023),R. K. Films,R. K. Films,Is A 1970 Indian  Romantic Drama,168.1,1000000000,168100000000.0
Dosti,1964,https://en.wikipedia.org/wiki/Dosti_(1964_film),Dosti,Satyen Bose,"Sudhir Kumar Sawant, Sushil Kumar Somaya, Sanjay Khan",,₹ 2 crore ,Rajshri Productions,,Is A 1964 Indian Hindi-Language Drama,2.0,10000000,20000000.0
Sharabi,1964,https://en.wikipedia.org/wiki/Sharabi_(1964_film),Sharabi,Raj Rishi,"Madhubala, Dev Anand",,est. ₹ 4 million ,,,Is A 1964 Hindi-Language Drama,4.0,1000000,4000000.0
Jahan Ara,1964,https://en.wikipedia.org/wiki/Jahan_Ara_(film),Jahan Ara,Vinod Kumar,"Bharat Bhushan, Mala Sinha",,"₹ 1,10,00,000 ",Light and Shade,,Jahan Ara Is The 1964 Indian Hindi Debut,1.0,1,1.0
Phoolon Ki Sej,1964,https://en.wikipedia.org/wiki/Phoolon_Ki_Sej,Phoolon Ki Sej,Inder Raj Anand,"Ashok Kumar, Manoj Kumar, Vyjayanthimala","₹ 45,00,000 (1964)","₹ 90,00,000 (1964) ₹ 68.42 crore (US$8.1 million) (2010)",Anjali PicturesRajshri Productions,,Is A 1964 Indian Hindi-Language Social,90.0,10000000,900000000.0
Himalay Ki Godmein,1965,https://en.wikipedia.org/wiki/Himalay_Ki_God_Mein,Himalay Ki God Mein,Vijay Bhatt,"Manoj Kumar, Mala Sinha, Shashikala",,₹ 4.5 Crore ,,,Is A 1965 Indian Hindi-Language,4.5,10000000,45000000.0
Shaheed,1965,https://en.wikipedia.org/wiki/23rd_March_1931:_Shaheed,23 March 1931: Shaheed,Guddu Dhanoa[1],"Bobby Deol, Sunny Deol, Amrita Singh, Rahul Dev, Suresh Oberoi, Vivek Shauq, Aishwariya Rai, Shakti Kapoor, Divya Dutta",₹ 20 crore ,₹ 14.25 crore ,,Vijayta Films,Historical Biographical,14.25,10000000,142500000.0
Guide,1965,https://en.wikipedia.org/wiki/Guide_(film),Guide,Vijay Anand,"Dev Anand, Waheeda Rehman","₹ 6 
million ",3.5 Crore link,,Navketan Films,S A 1965 Indian Bilingual Romantic Drama,3.5,10000000,35000000.0
Gumnaam,1965,https://en.wikipedia.org/wiki/Gumnaam,Gumnaam,Raja Nawathe,"Manoj Kumar, Nanda, Mehmood, Pran, Helen, Madan Puri, Tarun Bose, Dhumal, Manmohan",,est. ₹ 2.6 crore ($5.46 million),,Prithvi Pictures,Is A 1965 Indian Hindi-Language Mystery,2.6,10000000,26000000.0
Bheegi Raat,1965,https://en.wikipedia.org/wiki/Bheegi_Raat,Bheegi Raat,Kalidas,"Ashok Kumar, Meena Kumari, Pradeep Kumar",,₹ 70 lakh (equivalent to ₹ 47 crore or US$5.5 million in 2023) ,,,Is A 1965 Bollywood,70.0,10000000,700000000.0
Jab Jab Phool Khile,1965,https://en.wikipedia.org/wiki/Jab_Jab_Phool_Khile,Jab Jab Phool Khile,Suraj Prakash (director),"Shashi Kapoor, Nanda, Agha",,₹ 5.5 crore (equivalent to ₹ 367 crore or US$43 million in 2023) ,,Lime Light,965 Indian Hindi-Language Romantic Drama,5.5,10000000,55000000.0
Kaajal,1965,https://en.wikipedia.org/wiki/Kaajal,Kaajal,Ram Maheshwari,"Meena Kumari, Raaj Kumar, Dharmendra, Padmini",,₹24 million ,,,Is A 1965 Bollywood Romance Drama,24.0,1000000,24000000.0
Poonam Ki Raat,1965,https://en.wikipedia.org/wiki/Bheegi_Raat,Bheegi Raat,Kalidas,"Ashok Kumar, Meena Kumari, Pradeep Kumar",,₹ 70 lakh (equivalent to ₹ 47 crore or US$5.5 million in 2023) ,,,Is A 1965 Bollywood,70.0,10000000,700000000.0
Mera Saaya,1966,https://en.wikipedia.org/wiki/Mera_Saaya,Mera Saaya,Raj Khosla,"Sadhana, Sunil Dutt, K.N. Singh, Prem Chopra",,4.5 Crore ,,,Is A 1966 Indian Hindi-Language Thriller,4.5,10000000,45000000.0
Duniya Hai Dilwalon Ki,1966,https://en.wikipedia.org/wiki/Pyar_Kiye_Jaa,Pyar Kiye Jaa,C. V. Sridhar,"Kishore Kumar, Shashi Kapoor, Mehmood, Kalpana, Rajasree, Mumtaz, Om Prakash",,₹ 1.7 crore ,,Chithralaya,66 Indian Hindi-Language Romantic Comedy,1.7,10000000,17000000.0
Duvidha,1973,https://en.wikipedia.org/wiki/Paheli_(2005_film),Paheli,Amol Palekar,"Shah Rukh Khan, Rani Mukerji",₹ 140 million ,₹320 million ,Shree Ashtavinayak Cine Vision(India)Eros International(Worldwide),Red Chillies Entertainment,Is A 2005 Indian Hindi-Language Fantasy,320.0,1000000,320000000.0
Chor Machaye Shor,1974,https://en.wikipedia.org/wiki/Chor_Machaye_Shor,Chor Machaye Shor,Ashok Roy,"Shashi Kapoor, Mumtaz, Asrani, Danny Denzongpa",,₹ 3 crore ,N.N. Sippy ProductionsUltra Distributors,,Is A 1974 Indian Hindi-Language,3.0,10000000,30000000.0
Ajanabee,1974,https://en.wikipedia.org/wiki/Ajanabee_(1974_film),Ajanabee,Shakti Samanta,"Rajesh Khanna, Zeenat Aman, Prem Chopra, Asrani, Yogeeta Bali",,₹ 28 million,Samanta EnterprisesUnited ProducersEVP International,Natraj Studios,Is A 1974 Bollywood,28.0,1000000,28000000.0
Roti Kapada Aur Makaan,1974,https://en.wikipedia.org/wiki/Roti_Kapada_Aur_Makaan,Roti Kapada Aur Makaan,Manoj Kumar,"Manoj Kumar, Shashi Kapoor, Amitabh Bachchan, Zeenat Aman, Moushumi Chatterjee",,₹ 5.25 crore (equivalent to ₹ 157 crore or US$19 million in 2023) ,V.I.P. FilmsDigital EntertainmentEros EntertainmentShiva FilmsSpark Worldwide,,1974 Indian Hindi-Language Action Drama,5.25,10000000,52500000.0
Shahenshah,1988,https://en.wikipedia.org/wiki/Shahenshah_(1988_film),Shahenshah,Tinnu Anand,"Amitabh Bachchan, Meenakshi Sheshadri, Pran, Amrish Puri, Prem Chopra, Sharat Saxena, Murad",,₹12 crore ,,Shiva Video,Crime Action Drama,12.0,10000000,120000000.0
Paap Ki Duniya,1988,https://en.wikipedia.org/wiki/Paap_Ki_Duniya,Paap Ki Duniya,Shibu Mitra,"Sunny Deol, Chunky Pandey, Neelam, Pran, Danny Denzongpa, Shakti Kapoor",,₹ 9.5 crore (equivalent to ₹ 109 crore or US$13 million in 2023) ,,,Is A 1988 Indian,9.5,10000000,95000000.0
Qayamat Se Qayamat Tak,1988,https://en.wikipedia.org/wiki/Qayamat_Se_Qayamat_Tak,Qayamat Se Qayamat Tak,Mansoor Khan,"Aamir Khan, Juhi Chawla",,₹50 million (net) ,,Nasir Hussain Films,8 Indian Hindi-Language Romantic Musical,50.0,1000000,50000000.0
Veerana,1988,https://en.wikipedia.org/wiki/Veerana,Veerana,Ramsay Brothers(Shyam RamsayandTulsi Ramsay),"Jasmin Dhunna, Hemant Birje, Kulbhushan Kharbanda",₹60 Lakh,₹2.50 Crore in India,,,Erotic Supernatural Horror,2.5,10000000,25000000.0
Salaam Bombay!,1988,https://en.wikipedia.org/wiki/Salaam_Bombay!,Salaam Bombay!,Mira Nair,"Shafiq Syed, Hansa Vithal, Chanda Sharma, Nana Patekar, Raghuvir Yadav, Anita Kanwar, Raju Bernad","$450,000 ",est. $7.5 million (overseas),Alliance(Canada)Cinecom Pictures(USA)Dendy Films (Australia)Transmundo Films (Argentina)Tamasa Distribution (France),,Is A 1988 Indian Hindi-Language Drama,7.5,1000000,7500000.0
Ghar Ghar Ki Kahani,1988,https://en.wikipedia.org/wiki/Ghar_Ghar_Ki_Kahani_(1988_film),Ghar Ghar Ki Kahani,Kalpataru,"Rishi Kapoor, Jaya Prada, Govinda, Farah Naaz, Kader Khan, Ashok Saraf",₹1.8 crores,est. ₹8 crores Worldwide,,,Is A 1988 Hindi-Language Drama,8.0,10000000,80000000.0
Khoon Bhari Maang,1988,https://en.wikipedia.org/wiki/Khoon_Bhari_Maang,Khoon Bhari Maang,Rakesh Roshan,"Rekha, Kabir Bedi, Sonu Walia, Shatrughan Sinha, Kader Khan",,₹6 crore ,Filmkraft Productions,,88 Indian Hindi-Language Action Thriller,6.0,10000000,60000000.0
Dayavan,1988,https://en.wikipedia.org/wiki/Dayavan,Dayavan: Truth is Power,Feroz Khan,"Vinod Khanna, Feroz Khan, Madhuri Dixit, Aditya Pancholi",₹2.25 crore,₹7.40 crore,,,1988 Indian Hindi-Language Action Crime,7.4,10000000,74000000.0
Tezaab,1988,https://en.wikipedia.org/wiki/Tezaab,Tezaab,N. Chandra,"Anil Kapoor, Madhuri Dixit, Anupam Kher, Chunky Pandey, Mandakini, Kiran Kumar, Suresh Oberoi",,₹16 crore ,,,988 Indian Hindi-Language Action Romance,16.0,10000000,160000000.0
Yateem,1988,https://en.wikipedia.org/wiki/Yateem,Yateem,J. P. Dutta,"Sunny Deol, Farha Naaz, Danny Denzongpa, Kulbhushan Kharbanda, Sujata Mehta, Amrish Puri",,₹ 3.10 crore (equivalent to ₹100 crore or US$12 million in 2024) ,,,Is A 1988 Indian Hindi-Language Western,3.1,10000000,31000000.0
Zalzala,1988,https://en.wikipedia.org/wiki/Zalzala_(film),Zalzala,Harish Shah,"Dharmendra, Shatrughan Sinha, Rajiv Kapoor, Anita Raj, Kimi Katkar, Vijayeta Pandit, Danny Denzongpa, Rati Agnihotri",₹ 24 million ,₹ 30 million ,,,8 Indian Hindi-Language Action Adventure,30.0,1000000,30000000.0
Jeete Hain Shaan Se,1988,https://en.wikipedia.org/wiki/Jeete_Hain_Shaan_Se,Jeete Hain Shaan Se,Kawal Sharma,"Mithun Chakraborty, Sanjay Dutt, Govinda, Mandakini, Vijeta Pandit",₹ 2 crores ,₹ 8 crores ,Shree Bhagyalakshmi Movies,,Is A 1988 Indian Hindi-Language Action,8.0,10000000,80000000.0
Akarshan,1988,https://en.wikipedia.org/wiki/Akarshan,Akarshan,Tanvir Ahmed,"Akbar Khan, Sonu Walia",,"₹ 85,00,000",,,Akarshan Is A 1988 Bollywood Romantic,85.0,1,85.0
Fida,2004,https://en.wikipedia.org/wiki/Fida,Fida,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma, Akhilendra Mishra",₹ 10 crore ,₹ 16.9 crore ,Tips Industries,Tips Music Films,Romantic Action Thriller,16.9,10000000,169000000.0
Dhoom,2004,https://en.wikipedia.org/wiki/Dhoom,Dhoom,Sanjay Gadhvi,"Abhishek Bachchan, Uday Chopra, John Abraham, Esha, Rimii",est. ₹ 110 million ,est. ₹ 725 million ,Yash Raj Films,Yash Raj Films,A 2004 Indian Hindi-Language Moto Action,725.0,1000000,725000000.0
Rakht,2004,https://en.wikipedia.org/wiki/Rakht,Rakht,Mahesh V. Manjrekar,"Bipasha Basu, Sanjay Dutt, Dino Morea, Sunil Shetty, Amrita Arora, Neha Dhupia",₹ 120 million ,₹ 84.4 million ,Popcorn Motion PicturesAA Films,,Is A 2004 Indian Supernatural Horror,84.4,1000000,84400000.0
Dil Ne Jise Apna Kahaa,2004,https://en.wikipedia.org/wiki/Dil_Ne_Jise_Apna_Kahaa,Dil Ne Jise Apna Kahaa,Atul Agnihotri,"Salman Khan, Preity Zinta, Bhumika Chawla",₹ 11 crore ,₹ 13.54 crore ,,,004 Indian Hindi-Language Romantic Drama,13.54,10000000,135400000.0
Tumsa Nahin Dekha,2004,https://en.wikipedia.org/wiki/Tumsa_Nahin_Dekha:_A_Love_Story,Tumsa Nahin Dekha: A Love Story,Anurag Basu,"Emraan Hashmi, Diya Mirza, Anupam Kher",₹ 7 crore ,₹ 5.03 crore ,Saregama Films,Vishesh Films,04 Indian Hindi-Language Musical-Romance,5.03,10000000,50300000.0
Vaastu Shastra,2004,https://en.wikipedia.org/wiki/Vaastu_Shastra_(film),Vaastu Shastra,Saurab Usha Narang,"Sushmita Sen, Peeya Rai Chowdhary, J. D. Chakravarthy",₹ 5 crore ,₹ 10 crore ,K Sera Sera,,Is A 2004 Indian Hindi-Language Horror,10.0,10000000,100000000.0
Morning Raga,2004,https://en.wikipedia.org/wiki/Morning_Raga,Morning Raga,Mahesh Dattani,"Shabana Azmi, Prakash Kovelamudi, Perizaad Zorabian, Lillete Dubey, Nassar",₹1.5 crore ,₹30.5 lacs ,UTV Motion Pictures,,04 Indian English-Language Musical Drama,30.5,1,30.0
Veer Zaara,2004,https://en.wikipedia.org/wiki/Veer-Zaara,Veer-Zaara,Yash Chopra,"Shah Rukh Khan, Preity Zinta, Rani Mukerji",₹ 23 crore ,₹ 107 crore ,Yash Raj Films,Yash Raj Films,Is A 2004 Indian Hindi-Language Romantic,107.0,10000000,1070000000.0
Aitraaz,2004,https://en.wikipedia.org/wiki/Aitraaz,Aitraaz,Abbas–Mustan,"Akshay Kumar, Priyanka Chopra, Kareena Kapoor",₹ 11 crore ,₹ 26 crore ,Zee Films,Mukta Arts,Romantic Psychological Thriller,26.0,10000000,260000000.0
Hulchul,2004,https://en.wikipedia.org/wiki/Hulchul_(2004_film),Hulchul,Priyadarshan,"Akshaye Khanna, Kareena Kapoor, Suniel Shetty, Jackie Shroff, Arbaaz Khan, Arshad Warsi, Paresh Rawal, Amrish Puri, Asrani, Manoj Joshi, Shakti Kapoor",₹ 10 crore ,₹ 32.86 crore ,Venus Films,Venus Films,04 Indian Hindi-Language Romantic Comedy,32.86,10000000,328600000.0
Musafir,2004,https://en.wikipedia.org/wiki/Musafir_(2004_film),Musafir,Sanjay Gupta,"Sanjay Dutt, Anil Kapoor, Sameera Reddy, Aditya Pancholi, Koena Mitra, Mahesh Manjrekar, Shakti Kapoor",₹ 130 million ,₹ 187.1 million ,,,Neo-Noir Action Thriller,187.1,1000000,187100000.0
Ab Tumhare Hawale Watan Saathiyo,2004,https://en.wikipedia.org/wiki/Ab_Tumhare_Hawale_Watan_Sathiyo,Ab Tumhare Hawale Watan Sathiyo,Anil Sharma,"Amitabh Bachchan, Akshay Kumar, Bobby Deol, Divya Khosla Kumar, Danny Denzongpa",₹ 200 million ,₹ 191.6 million ,,Movie World Studio Limited,Is A 2004 Indian Hindi-Language War,191.6,1000000,191600000.0
Aabra Ka Daabra,2004,https://en.wikipedia.org/wiki/Aabra_Ka_Daabra,Aabra Ka Daabra,Dheeraj Kumar,"Athit Naik, Satish Kaushik, Hansika Motwani, Nupur Mehta",₹ 8 crore ,₹1.06 crore ,,,Is A 2004 Indian Hindi-Language Fantasy,1.06,10000000,10600000.0
Insan,2005,https://en.wikipedia.org/wiki/Insan,Insan,K. Subash[1],"Akshay Kumar, Ajay Devgn, Tusshar Kapoor, Lara Dutta, Esha, Laila, Koena Mitra, Rahul Dev",₹ 125 million ,₹ 104.1 million ,Eros International,DMS Films,05 Indian Hindi-Language Action Thriller,104.1,1000000,104100000.0
Blackmail,2005,https://en.wikipedia.org/wiki/Blackmail_(2005_film),Blackmail,Anil Devgan,"Ajay Devgn, Sunil Shetty, Priyanka Chopra, Dia Mirza",₹ 9.50 crore ,₹ 6.58 crore ,,,05 Indian Hindi-Language Action Thriller,6.58,10000000,65800000.0
Black,2005,https://en.wikipedia.org/wiki/Black_(2005_film),Black,Sanjay Leela Bhansali,"Amitabh Bachchan, Rani Mukerji",₹ 20–22 crore ,₹66.6 crore,Zee Motion Pictures(India)Yash Raj Films(Overseas),,Ck Is A 2005 Indian Hindi-Language Drama,66.6,10000000,666000000.0
Shabd,2005,https://en.wikipedia.org/wiki/Shabd_(film),Shabd,Leena Yadav,"Sanjay Dutt, Aishwarya Rai, Zayed Khan",Rs. 7 crores,Rs. 12.08 crores,Pritish Nandy Communications,,Indian Hindi-Language Psychological Art,12.08,10000000,120800000.0
Chaahat Ek Nasha...,2005,https://en.wikipedia.org/wiki/Chaahat_–_Ek_Nasha,Chaahat - Ek Nasha,Jai Prakash,"Manisha Koirala, Sharad Kapoor, Aryan Vaid, Preeti Jhangiani, Govind Namdev, Sayaji Shinde, Brijesh Tiwari","₹ 2,25 crore ","₹ 1,53 crore ",Chamunda Films,,005 Indian Hindi-Language Romantic Drama,1.0,10000000,10000000.0
Karam,2005,https://en.wikipedia.org/wiki/Karam_(film),Karam,Sanjay F. Gupta,"John Abraham, Priyanka Chopra, Bharat Dabholkar",₹ 5.75 crore ,₹ 7.76 crore ,Baweja Movies,,05 Indian Hindi-Language Action Thriller,7.76,10000000,77600000.0
Chehraa,2005,https://en.wikipedia.org/wiki/Chehraa,Chehraa,Saurabh Shukla,"Bipasha Basu, Dino Morea, Preeti Jhangiani, Irrfan Khan, Ayub Khan",₹ 4 crore ,₹ 0.6 crore ,,,Is A 2005 Indian Hindi-Language Thriller,0.6,10000000,6000000.0
Bewafaa,2005,https://en.wikipedia.org/wiki/Bewafaa_(2005_film),Bewafaa,Dharmesh Darshan,"Akshay Kumar, Anil Kapoor, Manoj Bajpayee, Kareena Kapoor, Sushmita Sen, Shamita Shetty",₹180 million ,₹331.8 million ,Sahara One,Sridevi Productions,Musical Romantic Drama,331.8,1000000,331800000.0
Zameer,2005,https://en.wikipedia.org/wiki/Zameer_(2005_film),Zameer,Kamal,"Ajay Devgn, Amisha Patel, Mahima Chaudhry",₹ 4.50 crore ,"₹ 1.
58 crore ",NH Studioz,,005 Indian Hindi-Language Romantic Drama,1.0,10000000,10000000.0
Chand Sa Roshan Chehra,2005,https://en.wikipedia.org/wiki/Chand_Sa_Roshan_Chehra,Chand Sa Roshan Chehra,Shabah Shamsi,"Samir Aftab, Tamannaah Bhatia",₹1.50 crore ,₹52.53 lakh ,Aftab Pictures,,Is A 2005 Indian Hindi-Language Romance,52.53,100000,5253000.0
Chand Bujh Gaya,2005,https://en.wikipedia.org/wiki/Chand_Bujh_Gaya,Chand Bujh Gaya,Sharique Minhaj,"Faisal Khan, Shama Sikander, Pratap Singh","₹ 1.75 crore (US$210,000) ","est. ₹ 15.5 lakh (US$18,000) ",,F.A. Picture International,005 Indian Hindi-Language Drama Thriller,15.5,100000,1550000.0
Tango Charlie,2005,https://en.wikipedia.org/wiki/Tango_Charlie,Tango Charlie,Mani Shankar,"Ajay Devgn, Bobby Deol, Sanjay Dutt, Suniel Shetty, Tanishaa, Nandana Sen, Kelly Dorji",₹ 13.5 crore,"₹ 7.16 crore ( India Nett) 
30.2 Crore (Overseas) ",Shree Ashtavinayak Cine Vision[1],Neha Arts,Rlie Is A 2005 Indian Hindi-Language War,7.16,10000000,71600000.0
Zeher,2005,https://en.wikipedia.org/wiki/Zeher,Zeher,Mohit Suri,"Emraan Hashmi, Shamita Shetty, Udita Goswami",₹ 50 million ,₹ 130 million ,,Vishesh Films,5 Indian Hindi-Language Mystery Thriller,130.0,1000000,130000000.0
Lucky: No Time for Love,2005,https://en.wikipedia.org/wiki/Lucky:_No_Time_for_Love,Lucky: No Time for Love,Radhika RaoVinay Sapru,"Salman Khan, Sneha Ullal",₹ 14 crore ,₹ 27.81 crore ,,,005 Indian Hindi-Language Romantic Drama,27.81,10000000,278100000.0
Khamoshh... Khauff Ki Raat,2005,https://en.wikipedia.org/wiki/Khamoshh..._Khauff_Ki_Raat,Khamoshh... Khauff Ki Raat,Deepak Tijori,"Shilpa Shetty, [, 2, ], Juhi Chawla, Rakhi Sawant, Vishwajeet Pradhan, Makrand Deshpande",₹ 4.50 crore ,₹ 1.04 crore ,,Tijori Films,5 Indian Hindi-Language Mystery Thriller,1.04,10000000,10400000.0
Waqt: The Race Against Time,2005,https://en.wikipedia.org/wiki/Waqt:_The_Race_Against_Time,Waqt: The Race Against Time,Vipul Amrutlal Shah,"Amitabh Bachchan, Akshay Kumar, Priyanka Chopra, Shefali Shah, Rajpal Yadav, Boman Irani",₹ 16 crore ,₹ 42.48 crore ,Eros International,,Is A 2005 Indian Hindi-Language Drama,42.48,10000000,424800000.0
Kaal,2005,https://en.wikipedia.org/wiki/Kaal_(2005_film),Kaal,Soham Shah,"Ajay Devgn, John Abraham, Vivek Oberoi, Esha Deol, Lara Dutta",,₹ 28.5 crore ,Yash Raj Films[1],,Supernatural Horror,28.5,10000000,285000000.0
Revati,2005,https://en.wikipedia.org/wiki/Revati_(film),Revati,Faroogh A. Siddique,"Kashmera Shah, Kiran Kumar, Ayub Kha, Vijay Kadam",,₹15 lakh ,Ultra Worldwide release,Victory International,Revati Is A 2005 Indian Hindi-Language,15.0,100000,1500000.0
Kyaa Kool Hai Hum,2005,https://en.wikipedia.org/wiki/Kyaa_Kool_Hain_Hum,Kyaa Kool Hai Hum,Sangeeth Sivan,"Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar, Neha Dhupia, Anupam Kher",₹5 crore ,₹22.85 crore ,UTV Motion Pictures,Balaji Motion Pictures,2005 Indian Hindi-Language Adult Comedy,22.85,10000000,228500000.0
Main Aisa Hi Hoon,2005,https://en.wikipedia.org/wiki/Main_Aisa_Hi_Hoon,Main Aisa Hi Hoon,Harry Baweja,"Ajay Devgn, Susmita Sen, Esha, Anupam Kher, Rucha Vaidya",₹ 9.5 crore ,₹ 6.58 crore ,T-Series,Baweja Movies,Is A 2005 Indian Hindi-Language Drama,6.58,10000000,65800000.0
