title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre,box_value,multiplier,bo_num
Dhol,2007,https://en.wikipedia.org/wiki/Dhol_(film),Dhol,Priyadarshan,"Tusshar Kapoor, Sharman Joshi, Kunal Khemu, Rajpal Yadav, Tanushree Dutta, Arbaaz Khan, Om Puri, Murali Sharma, Tiku Talsania, Asrani",₹ 14 crore ,₹ 33.27 crore ,Adlabs,Percept Picture Company,Buddy Comedy Thriller,33.27,10000000,332700000.0
Johnny Gaddaar,2007,https://en.wikipedia.org/wiki/Johnny_Gaddaar,Johnny Gaddaar,Sriram Raghavan,"Dharmendra, Neil Nitin Mukesh, Rimi Sen, Vinay Pathak, Zakir Hussain, Dayanand Shetty, Ashwini Kalsekar, Govind Namdeo",₹7.50 crore ,₹25.68 crore ,Adlabs,Adlabs,Neo-Noir Crime Thriller,25.68,10000000,256800000.0
Chhodon Naa Yaar,2007,https://en.wikipedia.org/wiki/Chhodon_Naa_Yaar,Chhodon Naa Yaar,Dilip Sood,"Jimmy Sheirgill, Kim Sharma, Farid Amiri, Ahmed Khan, Vinod Nagpal",₹ 3.25 crore ,₹ 0.26 crore ,,,Supernatural Horror,0.26,10000000,2600000.0
Bhool Bhulaiyaa,2007,https://en.wikipedia.org/wiki/Bhool_Bhulaiyaa,Bhool Bhulaiyaa,Priyadarshan,"Akshay Kumar, Vidya Balan, Shiney Ahuja, Ameesha Patel",₹ 320 million ,₹ 828.4 million ,Balaji Motion PicturesEros International,T-Series Films,Psychological Horror Comedy,828.4,1000000,828400000.0
Laaga Chunari Mein Daag,2007,https://en.wikipedia.org/wiki/Laaga_Chunari_Mein_Daag,Laaga Chunari Mein Daag,Pradeep Sarkar,"Jaya Bachchan, Rani Mukerji, Konkona Sen Sharma, Kunal Kapoor, Abhishek Bachchan, Anupam Kher",,est. ₹250 million ,Yash Raj Films,,Is A 2007 Indian Hindi-Language Drama,250.0,1000000,250000000.0
Jab We Met,2007,https://en.wikipedia.org/wiki/Jab_We_Met,Jab We Met,Imtiaz Ali,"Kareena Kapoor, Shahid Kapoor",₹ 15 crore ,₹ 50.9 crore ,Indian Films[1],Shree Ashtavinayak Cine Vision,07 Indian Hindi-Language Romantic Comedy,50.9,10000000,509000000.0
No Smoking,2007,https://en.wikipedia.org/wiki/No_Smoking_(2007_film),No Smoking,Anurag Kashyap,"John Abraham, Ayesha Takia, Paresh Rawal, Ranvir Shorey",₹23 crore,₹3 crore ,Eros International,,Is A 2007 Indian Hindi-Language Thriller,3.0,10000000,30000000.0
Humne Jeena Seekh Liya,2007,https://en.wikipedia.org/wiki/Humne_Jeena_Seekh_Liya,Humne Jeena Seekh Liya,Milind Ukey,"Siddharth Chandekar, Mrunmayi Deshpande",70-Lakh ,30-Lakh,Ukey Films,Ukey Films,08 Indian Coming Of Age Drama And Comedy,30.0,100000,3000000.0
Om Shanti Om,2007,https://en.wikipedia.org/wiki/Om_Shanti_Om,Om Shanti Om,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Shreyas Talpade, Kirron Kher, Arjun Rampal",₹40 crore ,₹152 crore ,Eros International,Red Chillies Entertainment,Is A 2007 Hindi-Language Masala,152.0,10000000,1520000000.0
Saawariya,2007,https://en.wikipedia.org/wiki/Saawariya,Saawariya,Sanjay Leela Bhansali,"Ranbir Kapoor, Sonam Kapoor, Rani Mukerji, Salman Khan, Zohra Sehgal",₹ 45 crore ,₹ 39.22 crore ,Sony Pictures Releasing International,,07 Indian Hindi-Language Musical Romance,39.22,10000000,392200000.0
Dhan Dhana Dhan Goal,2007,https://en.wikipedia.org/wiki/Goal_(2007_Hindi_film),Dhan Dhana Dhan Goal,Vivek Agnihotri,"John Abraham, Bipasha Basu, Arshad Warsi, Shernaz Patel, Judan Ali",₹190 million ,₹217.2 million ,UTV Motion Pictures,,2007 Indian Hindi-Language Sports Drama,217.2,1000000,217200000.0
Aaja Nachle,2007,https://en.wikipedia.org/wiki/Aaja_Nachle,Aaja Nachle,Anil Mehta,"Madhuri Dixit, Akshaye Khanna, Konkona Sen Sharma, Jugal Hansraj, Kunal Kapoor",₹ 250 million,₹ 143 million ,,Yash Raj Films,A 2007 Indian Hindi-Language Dance Drama,143.0,1000000,143000000.0
Dus Kahaniyaan,2007,https://en.wikipedia.org/wiki/Dus_Kahaniyaan,Dus Kahaniyaan,Sanjay GuptaApoorva LakhiaMeghna GulzarRohit RoyHansal MehtaJasmeet Dhodhi,"Sanjay Dutt, Suniel Shetty, Nana Patekar, Naseeruddin Shah, Manoj Bajpayee, Arbaaz Khan, Jimmy Sheirgill, Amrita Singh, Minissha Lamba, Sudhanshu Pandey, Anupam Kher, Aftab Shivdasani, Diya Mirza, Mandira Bedi, Mahesh Manjrekar, Neha Dhupia, Shabana Azmi, Masumeh Makhija, Rohit Roy, Anita Hassanandani, Anuradha Patel, Dino Morea, Tarina Patel, Neha Oberoi, Parmeet Sethi, Anup Soni",₹ 21 crore (US$2.5 million) ,₹ 13 crore (US$1.5 million) ,,,S A 2007 Indian Hindi-Language Anthology,13.0,10000000,130000000.0
Welcome,2007,https://en.wikipedia.org/wiki/Welcome_(2007_film),Welcome,Anees Bazmee,"Feroz Khan, Anil Kapoor, Nana Patekar, Akshay Kumar, Katrina Kaif, Paresh Rawal, Mallika Sherawat",₹ 32 crore ,₹ 117.91 crore ,UTV Motion PicturesIndian Films[1],Base Industries Group,2007 Hindi-Language Buddy Comedy Drama,117.91,10000000,1179100000.0
Taare Zameen Par,2007,https://en.wikipedia.org/wiki/Taare_Zameen_Par,Taare Zameen Par,Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Tanay Chheda",₹12 crore ,₹98.48 crore ,PVR Pictures,,Is A 2007 Indian Hindi-Language Drama,98.48,10000000,984800000.0
Return of Hanuman,2007,https://en.wikipedia.org/wiki/Return_of_Hanuman,Return of Hanuman,Anurag Kashyap,Pinky Rajput,₹16 crore ,₹ 6.14 crore ,Percept Picture Company,,Animated Action-Adventure,6.14,10000000,61400000.0
